constituency_id,name,state,district,centroid_lat,centroid_lng,boundary_geojson
PC-MH-001,Nashik,Maharashtra,Nashik,19.223342,75.824287,
PC-MH-002,Nashik,Maharashtra,Nashik,19.184101,75.261503,
PC-MH-003,Kolhapur,Maharashtra,Kolhapur,19.442133,75.743756,
PC-MH-004,Aurangabad,Maharashtra,Aurangabad,20.269322,75.356189,
PC-MH-005,Aurangabad,Maharashtra,Aurangabad,19.462211,75.359943,
PC-MH-006,Thane,Maharashtra,Thane,19.250448,76.476717,
PC-MH-007,Nashik,Maharashtra,Nashik,19.267203,75.590546,
PC-MH-008,Nashik,Maharashtra,Nashik,19.131717,76.027975,
PC-MH-009,Kolhapur,Maharashtra,Kolhapur,20.350559,75.785329,
PC-MH-010,Nashik,Maharashtra,Nashik,19.327915,75.463802,
PC-MH-011,Aurangabad,Maharashtra,Aurangabad,19.853641,76.183727,
PC-UP-001,Lucknow,Uttar Pradesh,Lucknow,26.922052,81.1823,
PC-UP-002,Meerut,Uttar Pradesh,Meerut,27.023435,80.239573,
PC-UP-003,Lucknow,Uttar Pradesh,Lucknow,27.11637,80.758624,
PC-UP-004,Meerut,Uttar Pradesh,Meerut,27.496104,81.744989,
PC-UP-005,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,27.470133,81.588356,
PC-UP-006,Gorakhpur,Uttar Pradesh,Gorakhpur,27.460181,80.822919,
PC-UP-007,Meerut,Uttar Pradesh,Meerut,27.355553,81.613308,
PC-UP-008,Agra,Uttar Pradesh,Agra,26.433883,80.5005,
PC-UP-009,Agra,Uttar Pradesh,Agra,26.576856,80.54576,
PC-UP-010,Agra,Uttar Pradesh,Agra,26.899206,80.557417,
PC-UP-011,Varanasi,Uttar Pradesh,Varanasi,26.451368,80.38092,
PC-UP-012,Meerut,Uttar Pradesh,Meerut,26.269563,80.283591,
PC-UP-013,Agra,Uttar Pradesh,Agra,26.596093,80.834914,
PC-UP-014,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,26.801309,81.018572,
PC-UP-015,Varanasi,Uttar Pradesh,Varanasi,26.722008,81.043176,
PC-UP-016,Varanasi,Uttar Pradesh,Varanasi,27.224619,80.618367,
PC-UP-017,Meerut,Uttar Pradesh,Meerut,26.735353,81.716865,
PC-UP-018,Lucknow,Uttar Pradesh,Lucknow,26.417699,80.267636,
PC-UP-019,Gorakhpur,Uttar Pradesh,Gorakhpur,27.608471,81.5545,
PC-UP-020,Varanasi,Uttar Pradesh,Varanasi,26.223542,81.299242,
PC-BR-001,Gaya,Bihar,Gaya,25.680739,85.937773,
PC-BR-002,Muzaffarpur,Bihar,Muzaffarpur,25.223472,85.344758,
PC-BR-003,Darbhanga,Bihar,Darbhanga,24.898255,85.307475,
PC-BR-004,Gaya,Bihar,Gaya,25.058468,85.362845,
PC-BR-005,Darbhanga,Bihar,Darbhanga,25.766945,85.787492,
PC-BR-006,Muzaffarpur,Bihar,Muzaffarpur,24.587586,85.784203,
PC-BR-007,Patna,Bihar,Patna,25.114987,85.914159,
PC-WB-001,Howrah,West Bengal,Howrah,22.311516,88.639114,
PC-WB-002,Darjeeling,West Bengal,Darjeeling,22.988294,87.0764,
PC-WB-003,Murshidabad,West Bengal,Murshidabad,22.373815,88.086286,
PC-WB-004,Nadia,West Bengal,Nadia,23.063289,88.57499,
PC-WB-005,Murshidabad,West Bengal,Murshidabad,22.631476,87.629442,
PC-WB-006,Kolkata,West Bengal,Kolkata,23.326039,87.323239,
PC-WB-007,Kolkata,West Bengal,Kolkata,23.695335,87.437676,
PC-WB-008,Darjeeling,West Bengal,Darjeeling,22.564461,88.410537,
PC-WB-009,Nadia,West Bengal,Nadia,23.027957,88.293979,
PC-WB-010,Nadia,West Bengal,Nadia,23.58904,87.959171,
