mp_id,name,house,state,constituency,party,term_start,term_end
MP-MH-001,Dr. Bharti Yadav,LOK_SABHA,Maharashtra,Nashik,Rashtriya Vikas Dal,2024-06-01,2029-05-31
MP-MH-002,Er. Arun Bhat,LOK_SABHA,Maharashtra,Nashik,Rashtriya Vikas Dal,2019-06-01,2024-05-31
MP-MH-003,Er. Nisha Shaikh,LOK_SABHA,Maharashtra,Kolhapur,Loktantrik Ekta Party,2019-06-01,2024-05-31
MP-MH-004,Shri Usha Nair,LOK_SABHA,Maharashtra,Aurangabad,Pragatishil Manch,2019-06-01,2024-05-31
MP-MH-005,Dr. Manoj Desai,LOK_SABHA,Maharashtra,Aurangabad,Loktantrik Ekta Party,2019-06-01,2024-05-31
MP-MH-006,Dr. Anil Singh,RAJYA_SABHA,Maharashtra,,Pragatishil Manch,2024-06-01,2029-05-31
MP-MH-007,Shri Meena Thakur,LOK_SABHA,Maharashtra,Thane,Independent,2024-06-01,2029-05-31
MP-MH-008,Er. Rajesh Iyer,LOK_SABHA,Maharashtra,Nashik,Bharat Nirman Morcha,2019-06-01,2024-05-31
MP-MH-009,Shri Arun Thakur,LOK_SABHA,Maharashtra,Nashik,Independent,2024-06-01,2029-05-31
MP-MH-010,Dr. Manoj Khan,LOK_SABHA,Maharashtra,Kolhapur,Loktantrik Ekta Party,2019-06-01,2024-05-31
MP-MH-011,Shri Shalini Pandey,LOK_SABHA,Maharashtra,Nashik,Jan Kalyan Party,2024-06-01,2029-05-31
MP-MH-012,Shri Imran Menon,RAJYA_SABHA,Maharashtra,,Bharat Nirman Morcha,2024-06-01,2029-05-31
MP-MH-013,Dr. Vijay Sharma,LOK_SABHA,Maharashtra,Aurangabad,Bharat Nirman Morcha,2019-06-01,2024-05-31
MP-UP-001,Dr. Kavita Pillai,LOK_SABHA,Uttar Pradesh,Lucknow,Rashtriya Vikas Dal,2024-06-01,2029-05-31
MP-UP-002,Er. Mahesh Reddy,LOK_SABHA,Uttar Pradesh,Meerut,Loktantrik Ekta Party,2019-06-01,2024-05-31
MP-UP-003,Er. Ramesh Verma,LOK_SABHA,Uttar Pradesh,Lucknow,Rashtriya Vikas Dal,2019-06-01,2024-05-31
MP-UP-004,Smt. Kavita Thakur,LOK_SABHA,Uttar Pradesh,Meerut,Independent,2024-06-01,2029-05-31
MP-UP-005,Shri Deepak Choudhary,LOK_SABHA,Uttar Pradesh,Kanpur Nagar,Loktantrik Ekta Party,2019-06-01,2024-05-31
MP-UP-006,Smt. Ayesha Patil,RAJYA_SABHA,Uttar Pradesh,,Bharat Nirman Morcha,2019-06-01,2024-05-31
MP-UP-007,Dr. Mahesh Sharma,LOK_SABHA,Uttar Pradesh,Gorakhpur,Loktantrik Ekta Party,2019-06-01,2024-05-31
MP-UP-008,Smt. Anil Khan,LOK_SABHA,Uttar Pradesh,Meerut,Bharat Nirman Morcha,2019-06-01,2024-05-31
MP-UP-009,Dr. Anil Pandey,LOK_SABHA,Uttar Pradesh,Agra,Jan Kalyan Party,2024-06-01,2029-05-31
