payment_id,project_id,installment_no,amount,payment_date,payment_mode,milestone_reached_pct,flagged
PAY-000001,MPLADS-AP-2024-00001,1,748867.03,2024-12-23,DBT,73.9,False
PAY-000002,MPLADS-AP-2024-00001,2,334767.27,2025-02-17,DBT,100.0,False
PAY-000003,MPLADS-UP-2021-00001,1,1656127.56,2024-04-29,DBT,53.2,False
PAY-000004,MPLADS-UP-2021-00001,2,935213.94,2024-05-06,RTGS,92.7,False
PAY-000005,MPLADS-UP-2021-00001,3,147821.61,2024-05-14,DBT,100.0,False
PAY-000006,MPLADS-RJ-2024-00001,1,752323.48,2025-04-24,RTGS,43.3,False
PAY-000007,MPLADS-RJ-2024-00001,2,628940.38,2025-06-21,RTGS,70.0,False
PAY-000008,MPLADS-RJ-2024-00001,3,454963.57,2025-09-01,CHEQUE,100.0,False
PAY-000009,MPLADS-KA-2025-00001,1,558802.63,2025-11-12,DBT,44.2,False
PAY-000010,MPLADS-KA-2025-00001,2,500552.36,2026-01-30,RTGS,88.0,False
PAY-000011,MPLADS-TG-2020-00001,1,1811504.56,2021-06-05,DBT,79.0,False
PAY-000012,MPLADS-TG-2020-00001,2,604106.87,2021-08-08,DBT,95.6,False
PAY-000013,MPLADS-MH-2019-00001,1,911838.15,2020-02-13,DBT,53.5,False
PAY-000014,MPLADS-MH-2019-00001,2,233831.84,2020-04-16,DBT,76.4,False
PAY-000015,MPLADS-MH-2019-00001,3,122698.49,2020-07-10,DBT,84.9,False
PAY-000016,MPLADS-MH-2019-00001,4,195434.87,2020-09-05,DBT,89.8,False
PAY-000017,MPLADS-CG-2023-00001,1,172416.22,2023-11-29,DBT,21.0,False
PAY-000018,MPLADS-CG-2023-00001,2,172526.91,2024-02-17,DBT,46.9,False
PAY-000019,MPLADS-CG-2023-00001,3,119662.06,2024-03-22,DBT,55.5,False
PAY-000020,MPLADS-CG-2023-00001,4,291373.77,2024-05-19,DBT,100.0,False
PAY-000021,MPLADS-OD-2024-00001,1,217947.94,2025-02-07,DBT,8.0,False
PAY-000022,MPLADS-OD-2024-00001,2,571929.61,2025-03-19,DBT,28.4,False
PAY-000023,MPLADS-OD-2024-00001,3,264748.86,2025-05-18,CHEQUE,47.6,False
PAY-000024,MPLADS-OD-2024-00001,4,534741.5,2025-08-05,CHEQUE,71.7,False
PAY-000025,MPLADS-OD-2024-00001,5,438037.34,2025-10-11,RTGS,72.4,False
PAY-000026,MPLADS-OD-2024-00001,6,375722.3,2026-01-02,DBT,90.6,False
PAY-000027,MPLADS-HR-2024-00001,1,1170730.54,2024-09-29,RTGS,57.2,False
PAY-000028,MPLADS-HR-2024-00001,2,41931.74,2024-11-07,DBT,61.6,False
PAY-000029,MPLADS-HR-2024-00001,3,435346.38,2025-01-12,DBT,74.5,False
PAY-000030,MPLADS-HR-2024-00001,4,219624.95,2025-04-09,DBT,90.4,False
PAY-000031,MPLADS-UP-2020-00002,1,216065.37,2020-09-23,DBT,11.2,False
PAY-000032,MPLADS-UP-2020-00002,2,669020.94,2020-11-04,DBT,47.1,False
PAY-000033,MPLADS-UP-2020-00002,3,586531.03,2021-01-26,DBT,67.3,False
PAY-000034,MPLADS-BR-2020-00001,1,788789.85,2021-01-31,DBT,47.1,False
PAY-000035,MPLADS-BR-2020-00001,2,107281.52,2021-03-16,DBT,64.4,False
PAY-000036,MPLADS-BR-2020-00001,3,274627.89,2021-05-29,DBT,71.8,False
PAY-000037,MPLADS-BR-2020-00001,4,278338.53,2021-08-21,CHEQUE,95.2,False
PAY-000038,MPLADS-BR-2025-00002,1,295832.9,2025-12-05,DBT,15.9,False
PAY-000039,MPLADS-BR-2025-00002,2,2799632.15,2025-12-13,RTGS,46.99066331297509,False
PAY-000040,MPLADS-BR-2025-00002,3,443709.21,2026-01-19,DBT,100.0,False
PAY-000041,MPLADS-BR-2025-00002,4,290910.51,2026-03-08,DBT,100.0,False
PAY-000042,MPLADS-MP-2021-00001,1,763174.74,2021-10-24,CHEQUE,48.5,False
PAY-000043,MPLADS-MP-2021-00001,2,338452.9,2021-12-14,CHEQUE,69.9,False
PAY-000044,MPLADS-MP-2021-00001,3,502422.83,2022-02-20,DBT,100.0,False
PAY-000045,MPLADS-TN-2022-00001,1,240535.29,2023-03-01,DBT,15.7,False
PAY-000046,MPLADS-TN-2022-00001,2,987997.04,2023-04-11,DBT,84.1,False
PAY-000047,MPLADS-CG-2024-00002,1,268841.86,2024-09-13,CHEQUE,13.3,False
PAY-000048,MPLADS-CG-2024-00002,2,523119.94,2024-11-24,DBT,45.2,False
