vendor_id,name,registration_no,state,total_projects_handled,flagged_before
VEN-00001,Reliable Builders,REG-UP-227804,Uttar Pradesh,8,False
VEN-00002,Shree Sai Enterprises,REG-AS-393423,Assam,3,False
VEN-00003,Om Works & Co,REG-OD-639919,Odisha,302,True
VEN-00004,Laxmi Engineering Works,REG-JH-673916,Jharkhand,4,False
VEN-00005,Star Infra Projects,REG-UP-359611,Uttar Pradesh,3,False
VEN-00006,Bharat Contractors,REG-AP-655228,Andhra Pradesh,7,False
VEN-00007,Shakti Infra Projects,REG-PB-559185,Punjab,8,False
VEN-00008,Prime Works & Co,REG-HR-898346,Haryana,6,False
VEN-00009,Shakti Contractors,REG-KL-903574,Kerala,7,False
VEN-00010,National Works & Co,REG-BR-274262,Bihar,3,False
VEN-00011,Green Valley Constructions,REG-OD-118282,Odisha,5,False
VEN-00012,Sundar Engineering Works,REG-RJ-256485,Rajasthan,7,False
VEN-00013,Vishwakarma Enterprises,REG-KA-431913,Karnataka,4,False
VEN-00014,Silver Line Constructions,REG-RJ-560949,Rajasthan,3,False
VEN-00015,Vishwakarma Builders,REG-BR-379679,Bihar,2,False
VEN-00016,Golden Engineering Works,REG-MP-644263,Madhya Pradesh,7,False
VEN-00017,Elite Developers,REG-AS-360663,Assam,1,False
VEN-00018,Reliable Constructions,REG-KL-146799,Kerala,6,False
VEN-00019,Reliable Associates,REG-KL-589453,Kerala,3,False
VEN-00020,Vishwakarma Engineering Works,REG-WB-352072,West Bengal,7,False
VEN-00021,Ganesh Infra Projects,REG-KL-979124,Kerala,9,False
VEN-00022,Jai Bharat Associates,REG-UP-366356,Uttar Pradesh,10,False
VEN-00023,Ananya Constructions,REG-MH-839045,Maharashtra,6,False
VEN-00024,Bharat Developers,REG-OD-232988,Odisha,3,False
VEN-00025,Krishna Contractors,REG-CG-935709,Chhattisgarh,8,True
VEN-00026,Om Enterprises,REG-OD-902473,Odisha,6,False
VEN-00027,Bharat Engineering Works,REG-MP-164018,Madhya Pradesh,2,False
VEN-00028,Krishna Enterprises,REG-CG-720094,Chhattisgarh,4,False
VEN-00029,Star Engineering Works,REG-GJ-626561,Gujarat,316,True
VEN-00030,Krishna Enterprises,REG-BR-622385,Bihar,7,False
VEN-00031,Jai Bharat Builders,REG-GJ-675057,Gujarat,12,False
VEN-00032,Prime Constructions,REG-PB-272380,Punjab,9,False
VEN-00033,Prime Works & Co,REG-GJ-254488,Gujarat,6,False
VEN-00034,Krishna Associates,REG-TG-271937,Telangana,5,False
VEN-00035,Divya Works & Co,REG-KL-517891,Kerala,4,False
VEN-00036,Laxmi Builders,REG-KA-893665,Karnataka,5,False
VEN-00037,Elite Infra Projects,REG-OD-864152,Odisha,8,False
VEN-00038,Golden Builders,REG-OD-979189,Odisha,9,False
VEN-00039,Trust Constructions,REG-KA-652603,Karnataka,9,False
VEN-00040,Shakti Contractors,REG-RJ-834149,Rajasthan,6,False
VEN-00041,Shree Sai Contractors,REG-JH-567918,Jharkhand,3,False
VEN-00042,National Enterprises,REG-PB-792343,Punjab,4,False
VEN-00043,Ganesh Builders,REG-AS-383986,Assam,3,False
VEN-00044,Reliable Works & Co,REG-MP-630222,Madhya Pradesh,3,False
VEN-00045,Reliable Infra Projects,REG-JH-381587,Jharkhand,4,False
VEN-00046,Vishwakarma Enterprises,REG-AP-348790,Andhra Pradesh,7,False
VEN-00047,Silver Line Associates,REG-KL-561825,Kerala,3,False
VEN-00048,Star Constructions,REG-TG-313608,Telangana,5,False
VEN-00049,Bharat Builders,REG-MP-605021,Madhya Pradesh,5,False
VEN-00050,Bharat Contractors,REG-CG-913887,Chhattisgarh,4,False
VEN-00051,Laxmi Infra Projects,REG-RJ-971327,Rajasthan,4,False
VEN-00052,Elite Associates,REG-RJ-307112,Rajasthan,6,False
VEN-00053,Krishna Builders,REG-WB-484994,West Bengal,3,False
VEN-00054,New Age Builders,REG-AP-231241,Andhra Pradesh,5,False
VEN-00055,Silver Line Contractors,REG-UP-853379,Uttar Pradesh,6,False
VEN-00056,Trust Developers,REG-TN-134902,Tamil Nadu,6,False
VEN-00057,Krishna Works & Co,REG-BR-147349,Bihar,1,False
VEN-00058,Krishna Infra Projects,REG-KL-109564,Kerala,7,False
VEN-00059,Om Infra Projects,REG-MH-179523,Maharashtra,3,False
VEN-00060,Prime Engineering Works,REG-WB-205868,West Bengal,8,False
VEN-00061,Shakti Constructions,REG-TG-796487,Telangana,7,False
VEN-00062,Divya Infra Projects,REG-OD-944230,Odisha,5,False
VEN-00063,Shree Sai Developers,REG-RJ-146923,Rajasthan,5,False
VEN-00064,Divya Contractors,REG-GJ-575078,Gujarat,6,False
VEN-00065,Shakti Engineering Works,REG-MH-271411,Maharashtra,5,False
VEN-00066,Ananya Infra Projects,REG-JH-301972,Jharkhand,7,False
VEN-00067,Star Developers,REG-WB-896742,West Bengal,5,False
VEN-00068,Sundar Constructions,REG-RJ-809916,Rajasthan,4,False
VEN-00069,Shree Sai Builders,REG-WB-438182,West Bengal,4,False
VEN-00070,Vishwakarma Infra Projects,REG-WB-569573,West Bengal,7,False
VEN-00071,Ananya Engineering Works,REG-AP-641175,Andhra Pradesh,7,False
VEN-00072,Laxmi Works & Co,REG-UP-421359,Uttar Pradesh,8,False
VEN-00073,Elite Builders,REG-JH-306823,Jharkhand,3,False
VEN-00074,Shree Sai Infrastructure Ltd,REG-MH-711361,Maharashtra,3,False
VEN-00075,Ganesh Infrastructure Ltd,REG-AP-544998,Andhra Pradesh,31,True
VEN-00076,Om Developers,REG-GJ-123598,Gujarat,3,False
VEN-00077,Ananya Infrastructure Ltd,REG-CG-629561,Chhattisgarh,4,False
VEN-00078,Laxmi Builders,REG-JH-267743,Jharkhand,7,False
VEN-00079,Green Valley Engineering Works,REG-PB-484238,Punjab,3,False
VEN-00080,Krishna Works & Co,REG-TN-268561,Tamil Nadu,4,False
VEN-00081,Divya Enterprises,REG-CG-670966,Chhattisgarh,3,False
VEN-00082,National Infra Projects,REG-AS-956826,Assam,3,False
VEN-00083,Shakti Builders,REG-KL-286201,Kerala,5,False
VEN-00084,National Enterprises,REG-KL-458847,Kerala,30,True
VEN-00085,Laxmi Infrastructure Ltd,REG-MH-182190,Maharashtra,6,False
VEN-00086,Ananya Infrastructure Ltd,REG-MH-606008,Maharashtra,2,False
VEN-00087,Ganesh Developers,REG-OD-474091,Odisha,4,False
VEN-00088,National Enterprises,REG-RJ-776281,Rajasthan,4,False
VEN-00089,Prime Enterprises,REG-HR-379083,Haryana,3,False
VEN-00090,Metro Associates,REG-TN-607517,Tamil Nadu,3,False
